"","portfolio.returns"
"1",0.0671601398911572
"2",0.26134866153661
"3",0.0052810537476482
"4",-0.0159577155879829
"5",0.00641589931375974
"6",0.0789536736894696
"7",0.0498804774960981
"8",0.00473550771169973
"9",0.0376722797821911
"10",-0.037105235653242
"11",-0.0964891146291357
"12",-0.0408267202093389
"13",0.0679638311018746
"14",0.0323612320514979
"15",-0.0334545213386492
"16",-0.00271157271882949
"17",-0.0149160941797138
"18",0.025943145070314
"19",-0.00474717086961962
"20",-0.00331586105204118
"21",-0.102184057740712
"22",0.0392795460822351
"23",-0.0013026276795628
"24",0.0152041833659584
"25",-0.0206425814175607
"26",-0.00301182929783717
"27",-0.0714968245851201
"28",1.14845940603903
"29",0.32621840171667
"30",-0.245774997708368
"31",0.216348915906107
"32",-0.0962873890781194
"33",-0.0484313741862202
"34",0.134322417213905
"35",0.305646495099849
"36",-0.0850212550240161
"37",0.153388728840895
"38",0.260403273033636
"39",0.0293611580988664
"40",-0.0756919254668351
"41",0.035397975533306
"42",-0.00331005249704952
"43",0.0112945908081985
"44",-0.0156660330666388
"45",-0.0610720282208889
"46",-0.0768663780247932
"47",-0.0333200126265902
"48",-0.0502183776551238
"49",0.145282325316089
"50",-0.0234673024577206
"51",-0.02262173325141
"52",0.0311016987080368
"53",-0.0450524064821737
"54",-0.12892947553737
"55",0.140147643116077
"56",-0.10368557922893
"57",0.00326470137961588
"58",0.0121872663399931
"59",-0.050108687291784
"60",0.0652551089361082
"61",-0.0134960643471483
"62",0.0155870806168328
"63",0.00269747844016233
"64",-0.0114528335703097
"65",0.0136196452737465
"66",0.0215995240029947
"67",0.131056283873892
"68",-0.0351909086150894
"69",-0.0261326732849517
"70",-0.00200930804443855
"71",-0.0172695104233169
"72",0.101728206983961
"73",-0.0442233565581529
"74",-0.0320909695690477
"75",0.0327177923996016
"76",0.00935766068987487
"77",-0.0138884301883457
"78",0.0191442689840453
"79",0.0277868086206907
"80",-0.0199817320321155
"81",-0.0254937093794589
"82",-0.0206452455882757
"83",-0.0510934914793739
"84",-0.00568654840709892
"85",0.0786810455718037
"86",0.00531524364448588
"87",-0.00445281613429693
"88",0.0155599422658137
"89",0.00131122140320139
"90",0.0511311008953985
"91",0.0664293630323032
"92",-0.0192070154922936
"93",-0.0096728239124616
"94",0.0810888842802235
"95",0.0933608951519698
"96",0.056577084359908
"97",-0.101320815870141
"98",0.0742497587060649
"99",-0.0174730547609985
"100",0.103952882231742
"101",0.0775883688216632
"102",0.000236793522916168
"103",0.247184863681965
"104",0.156562819056935
"105",0.321029181518537
"106",0.736920971652849
"107",-0.202630105859262
"108",0.0814402566288122
"109",0.221100338070505
"110",-0.174473214931343
"111",-0.0533888692223901
"112",-0.136932687604403
"113",-0.0475959564609957
"114",0.0581290078533683
"115",-0.0586859909946612
"116",0.099004925127772
"117",0.00720595614693709
"118",0.149282040976999
"119",-0.0421606020146147
"120",0.107512632144367
"121",0.137313188515211
"122",-0.0378497318267186
"123",0.143005504413248
"124",0.189447143560624
"125",0.201535831941791
"126",-0.101297150665808
"127",0.153010564091497
"128",-0.0654897048729987
"129",-0.0874041471591988
"130",-0.199577229044543
"131",0.0961065417097142
"132",-0.159020065309944
"133",0.158545937416556
"134",0.141527967815848
"135",-0.0926451727551422
"136",0.0142204351958204
"137",-0.0545716000525118
"138",-0.0057621595982108
"139",-0.293297939109471
"140",0.164881272000467
"141",-0.115902205039461
"142",-0.0294797028880543
"143",-0.10137902782364
"144",0.176805295696579
"145",-0.0457984827218199
"146",0.0308629958402333
"147",-0.0565438544843425
"148",-0.0685753330642226
"149",-0.0306641366772358
"150",0.00240812443491656
"151",0.0857863525632794
"152",0.124541566822447
"153",0.132727907635166
"154",-0.0594509228776756
"155",-0.0525957931071059
"156",-0.0152257512091644
"157",0.00089323396419716
"158",-0.103837049446508
"159",-0.0132625052570549
"160",0.0520415954983231
"161",-0.0429179530952607
"162",-0.0368004426632973
"163",-0.0132592335337154
"164",0.0406700793522474
"165",0.00958937686122274
"166",-0.0188228050183917
"167",-0.0446547754128412
"168",0.00417416003054227
"169",-0.0478540274736132
"170",-0.0194630541627733
"171",-0.0156765157884269
"172",-0.35298422479344
"173",0.0507719944177483
"174",0.234454472539582
"175",0.111507217069327
"176",-0.0771951403544139
"177",-0.00644684929664929
"178",0.080292751363493
"179",-0.0145795138192726
"180",0.0270301832895932
"181",-0.033967187608504
"182",-0.0329812664984349
"183",-0.000285412674035923
"184",0.00811393181013864
"185",0.00100741422291906
"186",-0.055417688787887
"187",0.00508991028670924
"188",-0.0352718564631294
"189",-0.0791293522029037
"190",0.0579591474208627
"191",-0.0309635022915038
"192",0.0109109235626172
"193",-0.0278424060367877
"194",-0.0445524643784989
"195",-0.00185592943138546
"196",-0.0686126615382728
"197",-0.0400530041484224
"198",0.0435463196983275
"199",0.00378139368490626
"200",-0.0597458052902515
"201",-0.00580310952836138
"202",0.103271303998544
"203",0.00337002019280042
"204",0.0116200698199285
"205",0.0226936999802747
"206",0.0197525249452719
"207",0.0184381312850346
"208",-0.00228475805543493
"209",0.0250037405121966
"210",0.00393177960506708
"211",-0.00712496192395951
"212",0.028882694961027
"213",-0.0292677159438105
"214",-0.0104076741502789
"215",-0.0342201433337308
"216",0.0272593159282573
"217",-0.00145434585738935
"218",0.0228626055305399
"219",0.224993451057893
"220",-0.0661834480072521
"221",0.0666346632227963
"222",0.00894633422925328
"223",0.0446403156051736
"224",-0.00502735527871045
"225",0.0821905229282252
"226",0.0313633506223847
"227",0.133551631449971
"228",-0.0519212527819582
"229",-0.0701634778240193
"230",0.0249033515744939
"231",0.0289606234663393
"232",0.0433127885374289
"233",-0.0304843495208965
"234",-0.00708896368286893
"235",0.0132804904773582
"236",-0.0864669895832717
"237",0.0140429726816087
"238",-0.0660556626221337
"239",0.0738388222196154
"240",-0.0247268852679495
"241",-0.0126305087883932
"242",-0.0328375193816098
"243",0.0279583812689475
"244",0.0505235463723244
"245",0.0123036165835999
"246",0.0026998242091798
"247",0.00976133331520779
"248",0.0409993537742954
"249",-0.0031695331471927
"250",-0.174879576531331
"251",0.00577940236916108
"252",-0.0129312630389768
"253",-0.0470461327318314
"254",0.00804072707008818
"255",0.0498665758881542
"256",-0.0557712081318376
"257",0.0250834054454678
"258",0.0247042742280312
"259",-0.019989118590492
"260",-0.0142577586768259
"261",0.00496034130169543
"262",-0.0291410330378522
"263",-0.114470370992989
"264",-0.0415303363763206
"265",0.126180830639693
"266",0.00475030871327387
"267",-0.0711018187428207
"268",0.0044164931819215
"269",-0.0200318491655318
"270",-0.0256792944340793
"271",-0.0203101348616359
"272",0.01780091709559
"273",0.0271284924126043
"274",0.0869584058267903
"275",-0.0135733565766246
"276",0.0132848508310923
"277",0.076893007743202
"278",0.0355058451154322
"279",0.00358879030199954
"280",-0.0317228568631303
"281",-0.000916743177397761
"282",0.0258401345006851
"283",-0.0649850144132986
"284",0.0106868282532984
"285",-0.0242330629806309
"286",0.027659224049029
"287",0.000646871942438398
"288",0.0119431713188749
"289",0.0113628113111626
"290",-0.0055236378513861
"291",0.0273376436205022
"292",0.0053981178927458
"293",0.0327591392428839
"294",-0.0432151140138703
"295",0.00922113774055333
"296",0.0180573130873192
"297",0.0866982844244431
"298",-0.0378156678559589
"299",-0.0266424021166284
"300",-0.0715719861107309
"301",0.219779751483123
"302",-0.0265987882179602
"303",-0.0603315498954152
"304",0.0384796216841576
"305",-0.0250657598089791
"306",0.013238732897483
"307",-0.00907992703732774
"308",-0.0211510062928251
"309",-0.00841129075042935
"310",0.00111915574850818
"311",0.0194205769542319
"312",0.0582726143040604
"313",-0.0231522192211226
"314",-0.0654373564622616
"315",0.0217162117892045
"316",-0.00892675343103466
"317",0.0126141473826651
"318",0.00933615951865741
"319",-0.0184624452032603
"320",-0.0758919202855296
"321",0.00158663083890298
"322",-0.0723065782960836
"323",0.0543002381674462
"324",0.0036150485371178
"325",-0.0224444244650323
"326",-0.0379008231760637
"327",0.0274551434049024
"328",-0.0361667346506231
"329",0.0156735132061012
"330",-0.0868855521244087
"331",0.00903502750026153
"332",0.0179016291487277
"333",0.034021933025641
"334",-0.00120829930527155
"335",-0.0202775621171838
"336",-0.000899214704172091
"337",-0.0416667965572664
"338",-0.105580350831545
"339",-0.0405974403901683
"340",0.0385187884691121
"341",-0.00320902440830784
"342",0.0148359985983089
"343",-0.0419095684447763
"344",-0.0335143033354489
"345",0.0257421563639948
"346",0.00542977831918301
"347",-0.0710527238468189
"348",0.176737509008007
"349",-0.0389465206600488
"350",-0.037991818915558
"351",-0.0276695087923718
"352",0.0175760854896074
"353",-0.011943671933265
"354",-0.00295726242495975
"355",0.0265009703406569
"356",0.00888194781035057
"357",0.0548663599890187
"358",0.00853585554227831
"359",0.0204113994250055
"360",-0.00753790621611461
"361",-0.0102674304885632
"362",-0.0697574986702941
"363",-0.0362877688989987
"364",0.0199780659279361
"365",-0.00858567239347729
